A newer version of lightning is available (2.5.5). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-85M-6e18
{'model_name': 'Diff_LLaMA_85M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 22383, 'warmup_steps': 223, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 7136, 'max_iters': 716256, 'lr_decay_iters': 716256, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_85M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 13, 'n_head': 10, 'n_embd': 640, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 10, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2560, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 126,174,720
Loading checkpoint from models/mdm_safetensors/mdm-85M-6e18/mdm-85M-6e18.safetensors
Validating ...
Val iter 127:	NLL Bound 3.5540,	Exact NLL 3.5496	Diff: 0.0044
Val iter 128:	NLL Bound 3.2903,	Exact NLL 3.2731	Diff: 0.0172
Val iter 129:	NLL Bound 3.1230,	Exact NLL 3.0525	Diff: 0.0705
Val iter 130:	NLL Bound 3.3865,	Exact NLL 3.3373	Diff: 0.0492
Val iter 131:	NLL Bound 3.4920,	Exact NLL 3.4439	Diff: 0.0481
Val iter 132:	NLL Bound 2.9540,	Exact NLL 2.8419	Diff: 0.1121
Val iter 133:	NLL Bound 3.4609,	Exact NLL 3.3868	Diff: 0.0741
Val iter 134:	NLL Bound 2.7471,	Exact NLL 2.7288	Diff: 0.0182
Val iter 135:	NLL Bound 3.4984,	Exact NLL 3.4019	Diff: 0.0965
Val iter 136:	NLL Bound 3.7248,	Exact NLL 3.6988	Diff: 0.0260
Val iter 137:	NLL Bound 3.7416,	Exact NLL 3.7035	Diff: 0.0381
Val iter 138:	NLL Bound 3.1610,	Exact NLL 3.0680	Diff: 0.0930
Val iter 139:	NLL Bound 3.5556,	Exact NLL 3.4359	Diff: 0.1197
Val iter 140:	NLL Bound 3.2483,	Exact NLL 3.2698	Diff: -0.0216
Val iter 141:	NLL Bound 3.5053,	Exact NLL 3.4208	Diff: 0.0845
Val iter 142:	NLL Bound 2.6744,	Exact NLL 2.5688	Diff: 0.1056
Val iter 143:	NLL Bound 3.2855,	Exact NLL 3.1050	Diff: 0.1805
Val iter 144:	NLL Bound 3.4673,	Exact NLL 3.3651	Diff: 0.1023
Val iter 145:	NLL Bound 3.5345,	Exact NLL 3.3869	Diff: 0.1476
Val iter 146:	NLL Bound 3.5208,	Exact NLL 3.3676	Diff: 0.1532
Val iter 147:	NLL Bound 3.4797,	Exact NLL 3.3258	Diff: 0.1539
Val iter 148:	NLL Bound 3.4582,	Exact NLL 3.4435	Diff: 0.0147
Val iter 149:	NLL Bound 3.4145,	Exact NLL 3.4297	Diff: -0.0152
Val iter 150:	NLL Bound 3.3008,	Exact NLL 3.1511	Diff: 0.1497
Val iter 151:	NLL Bound 3.4642,	Exact NLL 3.4116	Diff: 0.0527
Val iter 152:	NLL Bound 3.6770,	Exact NLL 3.6020	Diff: 0.0751
Val iter 153:	NLL Bound 3.5171,	Exact NLL 3.4187	Diff: 0.0984
Val iter 154:	NLL Bound 3.5902,	Exact NLL 3.5381	Diff: 0.0521
Val iter 155:	NLL Bound 3.0776,	Exact NLL 2.9764	Diff: 0.1012
Val iter 156:	NLL Bound 3.6196,	Exact NLL 3.4702	Diff: 0.1493
Val iter 157:	NLL Bound 2.9889,	Exact NLL 2.9335	Diff: 0.0554
Val iter 158:	NLL Bound 3.7057,	Exact NLL 3.6207	Diff: 0.0850
Val iter 159:	NLL Bound 3.5022,	Exact NLL 3.3785	Diff: 0.1237
